,obs_val,pred_val,signal
2022-01-20 04:50:00,2.9,3.1066601562499994,-1
2022-01-20 04:55:00,2.94,3.132040863037109,-1
2022-01-20 05:00:00,2.98,3.1549601745605464,-1
2022-01-20 05:05:00,3.02,3.177203979492187,-1
2022-01-20 05:10:00,3.06,3.198773040771484,-1
2022-01-20 05:15:00,3.1,3.2207121276855464,-1
2022-01-20 05:20:00,3.14,3.2395138549804683,-1
2022-01-20 05:25:00,3.18,3.259752960205078,-1
2022-01-20 05:30:00,3.22,3.277176208496093,-1
2022-01-20 05:35:00,3.26,3.286372985839843,0
2022-01-20 05:40:00,3.29,3.2944396972656245,0
2022-01-20 05:45:00,3.33,3.299010620117187,0
2022-01-20 05:50:00,3.37,3.3015715026855466,0
2022-01-20 05:55:00,3.41,3.302523040771484,0
2022-01-20 06:00:00,3.45,3.303315887451171,0
2022-01-20 06:05:00,3.45,3.3040223693847652,0
2022-01-20 06:10:00,3.45,3.304646606445312,0
2022-01-20 06:15:00,3.45,3.3051504516601558,0
2022-01-20 06:20:00,3.45,3.3055480957031245,0
2022-01-20 06:25:00,3.45,3.305454711914062,0
2022-01-20 06:30:00,3.45,3.305316009521484,0
2022-01-20 06:35:00,3.45,3.305199584960937,0
2022-01-20 06:40:00,3.45,3.305083312988281,0
2022-01-20 06:45:00,3.45,3.3049761962890623,0
2022-01-20 06:50:00,3.45,3.304906158447265,0
2022-01-20 06:55:00,3.45,3.304852905273437,0
2022-01-20 07:00:00,3.45,3.3048263549804684,0
2022-01-20 07:05:00,3.45,3.304801635742187,0
2022-01-20 07:10:00,3.45,3.3047798156738275,0
2022-01-20 07:15:00,3.45,3.3047615051269528,0
2022-01-20 07:20:00,3.45,3.3047468566894524,0
2022-01-20 07:25:00,3.45,3.3047373962402338,0
2022-01-20 07:30:00,3.45,3.3047351074218745,0
2022-01-20 07:35:00,3.45,3.3027494812011713,0
2022-01-20 07:40:00,3.45,3.2997908020019526,0
2022-01-20 07:45:00,3.45,3.296808929443359,0
2022-01-20 07:50:00,3.45,3.29376724243164,0
2022-01-20 07:55:00,3.45,3.2875285339355464,0
2022-01-20 08:00:00,3.44,3.277973022460937,0
2022-01-20 08:05:00,3.42,3.2692459106445306,0
2022-01-20 08:10:00,3.4,3.261292114257812,0
2022-01-20 08:15:00,3.38,3.2519729614257806,0
2022-01-20 08:20:00,3.35,3.2411283874511714,0
2022-01-20 08:25:00,3.33,3.231213226318359,0
2022-01-20 08:30:00,3.31,3.2210185241699216,0
2022-01-20 08:35:00,3.29,3.211756439208984,0
2022-01-20 08:40:00,3.27,3.200999145507812,0
2022-01-20 08:45:00,3.25,3.189954528808593,0
2022-01-20 08:50:00,3.23,3.179968872070312,0
2022-01-20 08:55:00,3.21,3.1683915710449213,0
2022-01-20 09:00:00,3.19,3.1565304565429684,0
2022-01-20 09:05:00,3.17,3.1428115844726556,0
2022-01-20 09:10:00,3.14,3.1276623535156247,1
2022-01-20 09:15:00,3.12,3.1139253234863276,1
2022-01-20 09:20:00,3.1,3.093544311523437,1
2022-01-20 09:25:00,3.08,3.071414642333984,1
2022-01-20 09:30:00,3.06,3.048704528808593,1
2022-01-20 09:35:00,3.04,3.026876068115234,1
2022-01-20 09:40:00,3.02,3.006287231445312,1
2022-01-20 09:45:00,3.0,2.9892782592773433,1
2022-01-20 09:50:00,2.98,2.97198989868164,1
2022-01-20 09:55:00,2.96,2.9531005859374995,1
2022-01-20 10:00:00,2.94,2.9369618225097653,1
2022-01-20 10:05:00,2.94,2.9249794006347654,1
2022-01-20 10:10:00,2.94,2.9106877136230467,1
2022-01-20 10:15:00,2.94,2.8983348083496088,1
2022-01-20 10:20:00,2.94,2.8897207641601557,1
2022-01-20 10:25:00,2.94,2.880977478027343,1
2022-01-20 10:30:00,2.94,2.875610961914062,1
2022-01-20 10:35:00,2.94,2.8702580261230466,1
2022-01-20 10:40:00,2.94,2.8648213195800776,1
2022-01-20 10:45:00,2.94,2.859264984130859,1
2022-01-20 10:50:00,2.94,2.853786163330078,1
2022-01-20 10:55:00,2.94,2.848267669677734,1
2022-01-20 11:00:00,2.94,2.8445741271972653,1
2022-01-20 11:05:00,2.94,2.842726898193359,0
2022-01-20 11:10:00,2.94,2.842772521972656,0
2022-01-20 11:15:00,2.94,2.8427726745605466,0
2022-01-20 11:20:00,2.94,2.8427755737304685,0
2022-01-20 11:25:00,2.94,2.84276870727539,0
2022-01-20 11:30:00,2.94,2.8427754211425778,0
2022-01-20 11:35:00,2.94,2.842766723632812,0
2022-01-20 11:40:00,2.94,2.8427685546874994,0
2022-01-20 11:45:00,2.94,2.8427616882324216,0
2022-01-20 11:50:00,2.94,2.84276382446289,0
2022-01-20 11:55:00,2.94,2.8427648925781246,0
2022-01-20 12:00:00,2.94,2.8427624511718745,0
2022-01-20 12:05:00,2.94,2.842763061523437,0
2022-01-20 12:10:00,2.94,2.8427622985839838,0
2022-01-20 12:15:00,2.94,2.8427600097656245,0
2022-01-20 12:20:00,2.94,2.8449232482910154,0
2022-01-20 12:25:00,2.94,2.844924163818359,0
2022-01-20 12:30:00,2.94,2.8449226379394528,0
2022-01-20 12:35:00,2.94,2.844921722412109,0
2022-01-20 12:40:00,2.94,2.844922180175781,0
2022-01-20 12:45:00,2.94,2.8449215698242183,0
2022-01-20 12:50:00,2.94,2.844920043945312,0
2022-01-20 12:55:00,2.94,2.844919281005859,0
2022-01-20 13:00:00,2.94,2.844919281005859,0
2022-01-20 13:05:00,2.94,2.8449179077148434,0
2022-01-20 13:10:00,2.94,2.844916839599609,0
2022-01-20 13:15:00,2.94,2.844916687011718,0
2022-01-20 13:20:00,2.94,2.8449162292480463,0
2022-01-20 13:25:00,2.94,2.8449151611328123,0
2022-01-20 13:30:00,2.94,2.8449147033691404,0
2022-01-20 13:35:00,2.94,2.8449147033691404,0
2022-01-20 13:40:00,2.94,2.775714416503906,0
2022-01-20 13:45:00,2.94,2.775713806152343,0
2022-01-20 13:50:00,2.94,2.775713195800781,0
2022-01-20 13:55:00,2.94,2.7757130432128903,0
2022-01-20 14:00:00,2.94,2.77571060180664,0
2022-01-20 14:05:00,2.94,2.775710296630859,0
2022-01-20 14:10:00,2.94,2.7757650756835934,0
2022-01-20 14:15:00,2.94,2.7756950378417966,0
2022-01-20 14:20:00,2.94,2.7757511901855465,0
2022-01-20 14:25:00,2.94,2.7757572937011714,0
2022-01-20 14:30:00,2.94,2.76679458618164,0
2022-01-20 14:35:00,2.94,2.760111236572265,0
2022-01-20 14:40:00,2.94,2.7533428955078123,0
2022-01-20 14:45:00,2.94,2.744304046630859,0
2022-01-20 14:50:00,2.94,2.737450103759765,0
2022-01-20 14:55:00,2.94,2.7283749389648433,0
2022-01-20 15:00:00,2.94,2.71937271118164,0
2022-01-20 15:05:00,2.94,2.712554016113281,0
2022-01-20 15:10:00,2.94,2.703420715332031,0
2022-01-20 15:15:00,2.94,2.6966133117675777,0
2022-01-20 15:20:00,2.94,2.6875534057617183,0
2022-01-20 15:25:00,2.94,2.6784494018554685,0
2022-01-20 15:30:00,2.94,2.673887786865234,0
2022-01-20 15:35:00,2.94,2.6738867187499995,0
2022-01-20 15:40:00,2.94,2.675898284912109,0
2022-01-20 15:45:00,2.94,2.675890808105468,0
2022-01-20 15:50:00,2.94,2.675890960693359,0
2022-01-20 15:55:00,2.94,2.6758854675292967,0
2022-01-20 16:00:00,2.94,2.6758865356445307,0
2022-01-20 16:05:00,2.94,2.6758863830566404,0
2022-01-20 16:10:00,2.94,2.6758865356445307,0
2022-01-20 16:15:00,2.94,2.6758868408203123,0
2022-01-20 16:20:00,2.94,2.6758859252929685,0
2022-01-20 16:25:00,2.94,2.6758868408203123,0
2022-01-20 16:30:00,2.94,2.6758854675292967,0
2022-01-20 16:35:00,2.94,2.6758857727050778,0
2022-01-20 16:40:00,2.94,2.6758863830566404,0
2022-01-20 16:45:00,2.94,2.675887756347656,0
2022-01-20 16:50:00,2.94,2.675888061523437,0
2022-01-20 16:55:00,2.94,2.675888519287109,0
2022-01-20 17:00:00,2.94,2.6758895874023434,0
2022-01-20 17:05:00,2.94,2.6758900451660153,0
2022-01-20 17:10:00,2.94,2.6758894348144526,0
2022-01-20 17:15:00,2.94,2.677729339599609,0
2022-01-20 17:20:00,2.94,2.677730255126953,0
2022-01-20 17:25:00,2.94,2.677730255126953,0
2022-01-20 17:30:00,2.94,2.6733981323242184,0
2022-01-20 17:35:00,2.94,2.6712304687499997,0
